id,age,department,performance
1,30,Accounting,28
2,46,Research and Development,73
3,47,Services,49
4,43,Research and Development,89
5,39,Training,43
6,37,Research and Development,57
7,39,Legal,71
8,33,Training,40
9,43,Business Development,99
10,38,Human Resources,12
11,47,Product Management,14
12,34,Business Development,22
13,45,Product Management,13
14,37,Human Resources,2
15,34,Engineering,35
16,46,Product Management,66
17,32,Support,23
18,36,Training,35
19,35,Services,15
20,41,Research and Development,90
21,35,Engineering,70
22,38,Business Development,17
23,42,Accounting,99
24,41,Sales,32
25,50,Accounting,8
26,41,Accounting,66
27,44,Training,95
28,31,Sales,94
29,41,Support,79
30,46,Accounting,75
31,30,Services,12
32,48,Human Resources,54
33,42,Services,47
34,43,Business Development,25
35,32,Business Development,58
36,45,Support,100
37,50,Research and Development,7
38,47,Accounting,64
39,49,Product Management,37
40,45,Legal,30
41,42,Training,75
42,46,Marketing,9
43,36,Engineering,33
44,49,Business Development,35
45,41,Training,46
46,36,Legal,8
47,33,Legal,45
48,42,Engineering,83
49,44,Engineering,69
50,40,Research and Development,28
51,39,Business Development,26
52,35,Product Management,84
53,44,Product Management,37
54,44,Engineering,74
55,43,Engineering,80
56,41,Sales,64
57,46,Engineering,30
58,31,Human Resources,99
59,31,Research and Development,87
60,31,Product Management,80
61,41,Research and Development,11
62,37,Business Development,34
63,36,Product Management,30
64,46,Product Management,70
65,45,Sales,99
66,35,Human Resources,30
67,46,Marketing,76
68,32,Human Resources,42
69,41,Legal,89
70,48,Marketing,13
71,30,Training,19
72,37,Business Development,8
73,45,Human Resources,92
74,30,Human Resources,34
75,37,Services,51
76,46,Research and Development,33
77,35,Sales,88
78,41,Business Development,59
79,37,Legal,90
80,49,Research and Development,95
81,31,Training,85
82,39,Product Management,77
83,45,Services,21
84,39,Training,98
85,45,Business Development,14
86,30,Engineering,9
87,33,Marketing,91
88,45,Support,67
89,50,Business Development,23
90,38,Support,57
91,39,Product Management,80
92,37,Sales,52
93,44,Marketing,64
94,35,Training,70
95,41,Engineering,47
96,33,Business Development,1
97,50,Business Development,40
98,33,Research and Development,22
99,39,Services,21
100,43,Accounting,26
101,42,Services,42
102,35,Engineering,36
103,33,Legal,27
104,32,Services,60
105,48,Sales,13
106,43,Accounting,14
107,40,Support,26
108,40,Marketing,18
109,50,Training,99
110,39,Training,42
111,38,Human Resources,49
112,34,Research and Development,72
113,37,Accounting,2
114,34,Support,72
115,45,Business Development,65
116,34,Human Resources,93
117,32,Support,33
118,48,Product Management,43
119,34,Research and Development,23
120,50,Training,23
121,46,Research and Development,14
122,38,Services,41
123,40,Product Management,83
124,38,Human Resources,12
125,47,Business Development,9
126,46,Legal,71
127,41,Sales,76
128,49,Research and Development,70
129,44,Human Resources,54
130,36,Services,58
131,40,Legal,70
132,42,Product Management,34
133,39,Product Management,38
134,42,Training,62
135,35,Sales,61
136,30,Marketing,63
137,35,Business Development,22
138,48,Legal,59
139,32,Training,86
140,41,Human Resources,93
141,48,Accounting,18
142,36,Business Development,16
143,47,Training,29
